year,month,date,created_at,category_code,bunrui_code,bunrui_name,date_bunrui_key,amount,memo
2022,4,15,2022/4/15,A,01,みこ収入,2022041501,217619,
2022,4,15,2022/4/15,A,02,りさ収入,2022041502,193989,
2022,4,15,2022/4/15,A,03,臨時収入,2022041503,25000,
2022,4,15,2022/4/15,B,10,食費,2022041510,17695,
2022,4,15,2022/4/15,B,11,外食費,2022041511,43532,
2022,4,15,2022/4/15,E,12,日用品,2022041512,28906,
2022,4,15,2022/4/15,F,13,行楽費,2022041513,0,
2022,4,15,2022/4/15,Z,99,その他,2022041599,225384,引っ越しで家具をたくさん買った。
2022,4,15,2022/4/15,C,14,電気代,2022041514,4380,
2022,4,15,2022/4/15,G,15,通信費,2022041515,0,
2022,4,15,2022/4/15,C,16,ガス代,2022041516,1766,
2022,4,15,2022/4/15,G,17,家賃,2022041517,0,
2022,4,15,2022/4/15,C,18,水道代,2022041518,0,
2022,4,15,2022/4/15,D,19,ガソリン・ETC,2022041519,11498,
2022,4,15,2022/4/15,D,20,車維持費,2022041520,0,
2022,5,15,2022/5/15,A,01,みこ収入,2022051501,134323,
2022,5,15,2022/5/15,A,02,りさ収入,2022051502,63608,
2022,5,15,2022/5/15,A,03,臨時収入,2022051503,25000,
2022,5,15,2022/5/15,B,10,食費,2022051510,26842,
2022,5,15,2022/5/15,B,11,外食費,2022051511,29423,
2022,5,15,2022/5/15,E,12,日用品,2022051512,16774,
2022,5,15,2022/5/15,F,13,行楽費,2022051513,0,
2022,5,15,2022/5/15,Z,99,その他,2022051599,104284,冷蔵庫購入
2022,5,15,2022/5/15,C,14,電気代,2022051514,15089,WiFi込み。
2022,5,15,2022/5/15,G,15,通信費,2022051515,0,
2022,5,15,2022/5/15,C,16,ガス代,2022051516,0,
2022,5,15,2022/5/15,G,17,家賃,2022051517,87440,
2022,5,15,2022/5/15,C,18,水道代,2022051518,957,
2022,5,15,2022/5/15,D,19,ガソリン・ETC,2022051519,7013,
2022,5,15,2022/5/15,D,20,車維持費,2022051520,0,
2022,6,15,2022/6/15,A,01,みこ収入,2022061501,178200,
2022,6,15,2022/6/15,A,02,りさ収入,2022061502,56332,
2022,6,15,2022/6/15,A,03,臨時収入,2022061503,25000,
2022,6,15,2022/6/15,B,10,食費,2022061510,43552,
